Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RLoad))	mag(I(RSource))
2.00000000000000e+06	1.90738267244034e-02,0.00000000000000e+00	5.71476980810784e-05,0.00000000000000e+00	5.71476980810784e-05,0.00000000000000e+00	1.90738267244034e-02,0.00000000000000e+00
2.00461047615580e+06	1.90698758667720e-02,0.00000000000000e+00	5.72557118145430e-05,0.00000000000000e+00	5.72557118145430e-05,0.00000000000000e+00	1.90698758667723e-02,0.00000000000000e+00
2.00923158055679e+06	1.90659092449795e-02,0.00000000000000e+00	5.73638299204751e-05,0.00000000000000e+00	5.73638299204751e-05,0.00000000000000e+00	1.90659092449797e-02,0.00000000000000e+00
2.01386333770361e+06	1.90619268065400e-02,0.00000000000000e+00	5.74720518415907e-05,0.00000000000000e+00	5.74720518415907e-05,0.00000000000000e+00	1.90619268065403e-02,0.00000000000000e+00
2.01850577215337e+06	1.90579284988838e-02,0.00000000000000e+00	5.75803770157989e-05,0.00000000000000e+00	5.75803770157989e-05,0.00000000000000e+00	1.90579284988834e-02,0.00000000000000e+00
2.02315890851980e+06	1.90539142693498e-02,0.00000000000000e+00	5.76888048761769e-05,0.00000000000000e+00	5.76888048761769e-05,0.00000000000000e+00	1.90539142693506e-02,0.00000000000000e+00
2.02782277147336e+06	1.90498840651954e-02,0.00000000000000e+00	5.77973348509488e-05,0.00000000000000e+00	5.77973348509488e-05,0.00000000000000e+00	1.90498840651953e-02,0.00000000000000e+00
2.03249738574139e+06	1.90458378335896e-02,0.00000000000000e+00	5.79059663634865e-05,0.00000000000000e+00	5.79059663634865e-05,0.00000000000000e+00	1.90458378335896e-02,0.00000000000000e+00
2.03718277610823e+06	1.90417755216217e-02,0.00000000000000e+00	5.80146988322858e-05,0.00000000000000e+00	5.80146988322858e-05,0.00000000000000e+00	1.90417755216223e-02,0.00000000000000e+00
2.04187896741536e+06	1.90376970762931e-02,0.00000000000000e+00	5.81235316709254e-05,0.00000000000000e+00	5.81235316709254e-05,0.00000000000000e+00	1.90376970762924e-02,0.00000000000000e+00
2.04658598456151e+06	1.90336024445228e-02,0.00000000000000e+00	5.82324642880927e-05,0.00000000000000e+00	5.82324642880927e-05,0.00000000000000e+00	1.90336024445234e-02,0.00000000000000e+00
2.05130385250281e+06	1.90294915731496e-02,0.00000000000000e+00	5.83414960875253e-05,0.00000000000000e+00	5.83414960875253e-05,0.00000000000000e+00	1.90294915731504e-02,0.00000000000000e+00
2.05603259625295e+06	1.90253644089338e-02,0.00000000000000e+00	5.84506264680317e-05,0.00000000000000e+00	5.84506264680317e-05,0.00000000000000e+00	1.90253644089336e-02,0.00000000000000e+00
2.06077224088323e+06	1.90212208985464e-02,0.00000000000000e+00	5.85598548234367e-05,0.00000000000000e+00	5.85598548234367e-05,0.00000000000000e+00	1.90212208985463e-02,0.00000000000000e+00
2.06552281152279e+06	1.90170609885843e-02,0.00000000000000e+00	5.86691805425900e-05,0.00000000000000e+00	5.86691805425900e-05,0.00000000000000e+00	1.90170609885842e-02,0.00000000000000e+00
2.07028433335869e+06	1.90128846255664e-02,0.00000000000000e+00	5.87786030093516e-05,0.00000000000000e+00	5.87786030093516e-05,0.00000000000000e+00	1.90128846255667e-02,0.00000000000000e+00
2.07505683163602e+06	1.90086917559288e-02,0.00000000000000e+00	5.88881216025472e-05,0.00000000000000e+00	5.88881216025472e-05,0.00000000000000e+00	1.90086917559283e-02,0.00000000000000e+00
2.07984033165812e+06	1.90044823260304e-02,0.00000000000000e+00	5.89977356959851e-05,0.00000000000000e+00	5.89977356959851e-05,0.00000000000000e+00	1.90044823260311e-02,0.00000000000000e+00
2.08463485878661e+06	1.90002562821595e-02,0.00000000000000e+00	5.91074446584222e-05,0.00000000000000e+00	5.91074446584222e-05,0.00000000000000e+00	1.90002562821590e-02,0.00000000000000e+00
2.08944043844160e+06	1.89960135705196e-02,0.00000000000000e+00	5.92172478535466e-05,0.00000000000000e+00	5.92172478535466e-05,0.00000000000000e+00	1.89960135705187e-02,0.00000000000000e+00
2.09425709610180e+06	1.89917541372406e-02,0.00000000000000e+00	5.93271446399640e-05,0.00000000000000e+00	5.93271446399640e-05,0.00000000000000e+00	1.89917541372411e-02,0.00000000000000e+00
2.09908485730464e+06	1.89874779283840e-02,0.00000000000000e+00	5.94371343711869e-05,0.00000000000000e+00	5.94371343711869e-05,0.00000000000000e+00	1.89874779283842e-02,0.00000000000000e+00
2.10392374764644e+06	1.89831848899315e-02,0.00000000000000e+00	5.95472163956104e-05,0.00000000000000e+00	5.95472163956104e-05,0.00000000000000e+00	1.89831848899310e-02,0.00000000000000e+00
2.10877379278251e+06	1.89788749677908e-02,0.00000000000000e+00	5.96573900564997e-05,0.00000000000000e+00	5.96573900564997e-05,0.00000000000000e+00	1.89788749677920e-02,0.00000000000000e+00
2.11363501842731e+06	1.89745481078041e-02,0.00000000000000e+00	5.97676546919706e-05,0.00000000000000e+00	5.97676546919706e-05,0.00000000000000e+00	1.89745481078040e-02,0.00000000000000e+00
2.11850745035458e+06	1.89702042557332e-02,0.00000000000000e+00	5.98780096349766e-05,0.00000000000000e+00	5.98780096349766e-05,0.00000000000000e+00	1.89702042557331e-02,0.00000000000000e+00
2.12339111439745e+06	1.89658433572780e-02,0.00000000000000e+00	5.99884542133024e-05,0.00000000000000e+00	5.99884542133024e-05,0.00000000000000e+00	1.89658433572775e-02,0.00000000000000e+00
2.12828603644863e+06	1.89614653580651e-02,0.00000000000000e+00	6.00989877495350e-05,0.00000000000000e+00	6.00989877495350e-05,0.00000000000000e+00	1.89614653580647e-02,0.00000000000000e+00
2.13319224246051e+06	1.89570702036463e-02,0.00000000000000e+00	6.02096095610305e-05,0.00000000000000e+00	6.02096095610305e-05,0.00000000000000e+00	1.89570702036468e-02,0.00000000000000e+00
2.13810975844531e+06	1.89526578395180e-02,0.00000000000000e+00	6.03203189599524e-05,0.00000000000000e+00	6.03203189599524e-05,0.00000000000000e+00	1.89526578395183e-02,0.00000000000000e+00
2.14303861047521e+06	1.89482282110983e-02,0.00000000000000e+00	6.04311152531978e-05,0.00000000000000e+00	6.04311152531978e-05,0.00000000000000e+00	1.89482282110986e-02,0.00000000000000e+00
2.14797882468249e+06	1.89437812637470e-02,0.00000000000000e+00	6.05419977424255e-05,0.00000000000000e+00	6.05419977424255e-05,0.00000000000000e+00	1.89437812637465e-02,0.00000000000000e+00
2.15293042725967e+06	1.89393169427526e-02,0.00000000000000e+00	6.06529657240097e-05,0.00000000000000e+00	6.06529657240097e-05,0.00000000000000e+00	1.89393169427517e-02,0.00000000000000e+00
2.15789344445965e+06	1.89348351933378e-02,0.00000000000000e+00	6.07640184890359e-05,0.00000000000000e+00	6.07640184890359e-05,0.00000000000000e+00	1.89348351933388e-02,0.00000000000000e+00
2.16286790259587e+06	1.89303359606736e-02,0.00000000000000e+00	6.08751553233014e-05,0.00000000000000e+00	6.08751553233014e-05,0.00000000000000e+00	1.89303359606731e-02,0.00000000000000e+00
2.16785382804240e+06	1.89258191898542e-02,0.00000000000000e+00	6.09863755072731e-05,0.00000000000000e+00	6.09863755072731e-05,0.00000000000000e+00	1.89258191898536e-02,0.00000000000000e+00
2.17285124723413e+06	1.89212848259209e-02,0.00000000000000e+00	6.10976783160980e-05,0.00000000000000e+00	6.10976783160980e-05,0.00000000000000e+00	1.89212848259209e-02,0.00000000000000e+00
2.17786018666686e+06	1.89167328138507e-02,0.00000000000000e+00	6.12090630195604e-05,0.00000000000000e+00	6.12090630195604e-05,0.00000000000000e+00	1.89167328138503e-02,0.00000000000000e+00
2.18288067289751e+06	1.89121630985630e-02,0.00000000000000e+00	6.13205288821021e-05,0.00000000000000e+00	6.13205288821021e-05,0.00000000000000e+00	1.89121630985631e-02,0.00000000000000e+00
2.18791273254418e+06	1.89075756249164e-02,0.00000000000000e+00	6.14320751627705e-05,0.00000000000000e+00	6.14320751627705e-05,0.00000000000000e+00	1.89075756249161e-02,0.00000000000000e+00
2.19295639228637e+06	1.89029703377132e-02,0.00000000000000e+00	6.15437011152369e-05,0.00000000000000e+00	6.15437011152369e-05,0.00000000000000e+00	1.89029703377127e-02,0.00000000000000e+00
2.19801167886504e+06	1.88983471816978e-02,0.00000000000000e+00	6.16554059877611e-05,0.00000000000000e+00	6.16554059877611e-05,0.00000000000000e+00	1.88983471816973e-02,0.00000000000000e+00
2.20307861908283e+06	1.88937061015553e-02,0.00000000000000e+00	6.17671890231746e-05,0.00000000000000e+00	6.17671890231746e-05,0.00000000000000e+00	1.88937061015558e-02,0.00000000000000e+00
2.20815723980414e+06	1.88890470419294e-02,0.00000000000000e+00	6.18790494589067e-05,0.00000000000000e+00	6.18790494589067e-05,0.00000000000000e+00	1.88890470419284e-02,0.00000000000000e+00
2.21324756795533e+06	1.88843699473910e-02,0.00000000000000e+00	6.19909865269047e-05,0.00000000000000e+00	6.19909865269047e-05,0.00000000000000e+00	1.88843699473908e-02,0.00000000000000e+00
2.21834963052480e+06	1.88796747624727e-02,0.00000000000000e+00	6.21029994536762e-05,0.00000000000000e+00	6.21029994536762e-05,0.00000000000000e+00	1.88796747624725e-02,0.00000000000000e+00
2.22346345456318e+06	1.88749614316479e-02,0.00000000000000e+00	6.22150874602450e-05,0.00000000000000e+00	6.22150874602450e-05,0.00000000000000e+00	1.88749614316481e-02,0.00000000000000e+00
2.22858906718345e+06	1.88702298993425e-02,0.00000000000000e+00	6.23272497621519e-05,0.00000000000000e+00	6.23272497621519e-05,0.00000000000000e+00	1.88702298993431e-02,0.00000000000000e+00
2.23372649556112e+06	1.88654801099332e-02,0.00000000000000e+00	6.24394855694383e-05,0.00000000000000e+00	6.24394855694383e-05,0.00000000000000e+00	1.88654801099338e-02,0.00000000000000e+00
2.23887576693430e+06	1.88607120077441e-02,0.00000000000000e+00	6.25517940866191e-05,0.00000000000000e+00	6.25517940866191e-05,0.00000000000000e+00	1.88607120077444e-02,0.00000000000000e+00
2.24403690860392e+06	1.88559255370577e-02,0.00000000000000e+00	6.26641745127005e-05,0.00000000000000e+00	6.26641745127005e-05,0.00000000000000e+00	1.88559255370572e-02,0.00000000000000e+00
2.24920994793385e+06	1.88511206421029e-02,0.00000000000000e+00	6.27766260411307e-05,0.00000000000000e+00	6.27766260411307e-05,0.00000000000000e+00	1.88511206421030e-02,0.00000000000000e+00
2.25439491235101e+06	1.88462972670674e-02,0.00000000000000e+00	6.28891478598087e-05,0.00000000000000e+00	6.28891478598087e-05,0.00000000000000e+00	1.88462972670683e-02,0.00000000000000e+00
2.25959182934559e+06	1.88414553560984e-02,0.00000000000000e+00	6.30017391510770e-05,0.00000000000000e+00	6.30017391510771e-05,0.00000000000000e+00	1.88414553560985e-02,0.00000000000000e+00
2.26480072647111e+06	1.88365948532938e-02,0.00000000000000e+00	6.31143990916917e-05,0.00000000000000e+00	6.31143990916917e-05,0.00000000000000e+00	1.88365948532935e-02,0.00000000000000e+00
2.27002163134462e+06	1.88317157027104e-02,0.00000000000000e+00	6.32271268528114e-05,0.00000000000000e+00	6.32271268528114e-05,0.00000000000000e+00	1.88317157027093e-02,0.00000000000000e+00
2.27525457164686e+06	1.88268178483634e-02,0.00000000000000e+00	6.33399215999988e-05,0.00000000000000e+00	6.33399215999989e-05,0.00000000000000e+00	1.88268178483633e-02,0.00000000000000e+00
2.28049957512233e+06	1.88219012342348e-02,0.00000000000000e+00	6.34527824932056e-05,0.00000000000000e+00	6.34527824932056e-05,0.00000000000000e+00	1.88219012342346e-02,0.00000000000000e+00
2.28575666957954e+06	1.88169658042623e-02,0.00000000000000e+00	6.35657086867473e-05,0.00000000000000e+00	6.35657086867473e-05,0.00000000000000e+00	1.88169658042610e-02,0.00000000000000e+00
2.29102588289106e+06	1.88120115023407e-02,0.00000000000000e+00	6.36786993292944e-05,0.00000000000000e+00	6.36786993292944e-05,0.00000000000000e+00	1.88120115023415e-02,0.00000000000000e+00
2.29630724299376e+06	1.88070382723465e-02,0.00000000000000e+00	6.37917535638918e-05,0.00000000000000e+00	6.37917535638918e-05,0.00000000000000e+00	1.88070382723459e-02,0.00000000000000e+00
2.30160077788886e+06	1.88020460581012e-02,0.00000000000000e+00	6.39048705278922e-05,0.00000000000000e+00	6.39048705278922e-05,0.00000000000000e+00	1.88020460581008e-02,0.00000000000000e+00
2.30690651564218e+06	1.87970348034028e-02,0.00000000000000e+00	6.40180493529899e-05,0.00000000000000e+00	6.40180493529899e-05,0.00000000000000e+00	1.87970348034029e-02,0.00000000000000e+00
2.31222448438419e+06	1.87920044520168e-02,0.00000000000000e+00	6.41312891651903e-05,0.00000000000000e+00	6.41312891651903e-05,0.00000000000000e+00	1.87920044520154e-02,0.00000000000000e+00
2.31755471231024e+06	1.87869549476716e-02,0.00000000000000e+00	6.42445890848103e-05,0.00000000000000e+00	6.42445890848104e-05,0.00000000000000e+00	1.87869549476722e-02,0.00000000000000e+00
2.32289722768068e+06	1.87818862340719e-02,0.00000000000000e+00	6.43579482264460e-05,0.00000000000000e+00	6.43579482264460e-05,0.00000000000000e+00	1.87818862340729e-02,0.00000000000000e+00
2.32825205882097e+06	1.87767982548940e-02,0.00000000000000e+00	6.44713656989990e-05,0.00000000000000e+00	6.44713656989990e-05,0.00000000000000e+00	1.87767982548947e-02,0.00000000000000e+00
