Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RLoad))	mag(I(RSource))
2.00000000000000e+06	1.04283745344835e-02,0.00000000000000e+00	1.70825455215013e-05,0.00000000000000e+00	1.70825455214997e-05,0.00000000000000e+00	1.04283745344839e-02,0.00000000000000e+00
2.00461047615580e+06	1.04525907805133e-02,0.00000000000000e+00	1.72015364490851e-05,0.00000000000000e+00	1.72015364490853e-05,0.00000000000000e+00	1.04525907805107e-02,0.00000000000000e+00
2.00923158055679e+06	1.04768580499354e-02,0.00000000000000e+00	1.73213389975443e-05,0.00000000000000e+00	1.73213389975426e-05,0.00000000000000e+00	1.04768580499341e-02,0.00000000000000e+00
2.01386333770361e+06	1.05011763564623e-02,0.00000000000000e+00	1.74419583126847e-05,0.00000000000000e+00	1.74419583126822e-05,0.00000000000000e+00	1.05011763564615e-02,0.00000000000000e+00
2.01850577215337e+06	1.05255457122787e-02,0.00000000000000e+00	1.75633995651133e-05,0.00000000000000e+00	1.75633995651094e-05,0.00000000000000e+00	1.05255457122784e-02,0.00000000000000e+00
2.02315890851980e+06	1.05499661280879e-02,0.00000000000000e+00	1.76856679502827e-05,0.00000000000000e+00	1.76856679502830e-05,0.00000000000000e+00	1.05499661280848e-02,0.00000000000000e+00
2.02782277147336e+06	1.05744376130287e-02,0.00000000000000e+00	1.78087686884395e-05,0.00000000000000e+00	1.78087686884411e-05,0.00000000000000e+00	1.05744376130273e-02,0.00000000000000e+00
2.03249738574139e+06	1.05989601747025e-02,0.00000000000000e+00	1.79327070245485e-05,0.00000000000000e+00	1.79327070245470e-05,0.00000000000000e+00	1.05989601747035e-02,0.00000000000000e+00
2.03718277610823e+06	1.06235338191288e-02,0.00000000000000e+00	1.80574882282288e-05,0.00000000000000e+00	1.80574882282251e-05,0.00000000000000e+00	1.06235338191281e-02,0.00000000000000e+00
2.04187896741536e+06	1.06481585507279e-02,0.00000000000000e+00	1.81831175938110e-05,0.00000000000000e+00	1.81831175938178e-05,0.00000000000000e+00	1.06481585507287e-02,0.00000000000000e+00
2.04658598456151e+06	1.06728343722711e-02,0.00000000000000e+00	1.83096004401891e-05,0.00000000000000e+00	1.83096004401903e-05,0.00000000000000e+00	1.06728343722738e-02,0.00000000000000e+00
