Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RCoil3))	mag(I(RLoad))	mag(I(RSource))
2.00000000000000e+06	1.20040823929996e-02,0.00000000000000e+00	2.49100613483683e-04,0.00000000000000e+00	2.23901478033725e-05,0.00000000000000e+00	2.23901478033725e-05,0.00000000000000e+00	1.20040823929994e-02,0.00000000000000e+00
2.00461047615580e+06	1.19864167925176e-02,0.00000000000000e+00	2.48742218910901e-04,0.00000000000000e+00	2.24048329966655e-05,0.00000000000000e+00	2.24048329966655e-05,0.00000000000000e+00	1.19864167925169e-02,0.00000000000000e+00
2.00923158055679e+06	1.19687479529108e-02,0.00000000000000e+00	2.48383764711305e-04,0.00000000000000e+00	2.24194563985848e-05,0.00000000000000e+00	2.24194563985848e-05,0.00000000000000e+00	1.19687479529099e-02,0.00000000000000e+00
2.01386333770361e+06	1.19510760030029e-02,0.00000000000000e+00	2.48025253508708e-04,0.00000000000000e+00	2.24340178813172e-05,0.00000000000000e+00	2.24340178813172e-05,0.00000000000000e+00	1.19510760030030e-02,0.00000000000000e+00
2.01850577215337e+06	1.19334010715273e-02,0.00000000000000e+00	2.47666687924811e-04,0.00000000000000e+00	2.24485173178193e-05,0.00000000000000e+00	2.24485173178193e-05,0.00000000000000e+00	1.19334010715281e-02,0.00000000000000e+00
2.02315890851980e+06	1.19157232871023e-02,0.00000000000000e+00	2.47308070578747e-04,0.00000000000000e+00	2.24629545817843e-05,0.00000000000000e+00	2.24629545817843e-05,0.00000000000000e+00	1.19157232871029e-02,0.00000000000000e+00
2.02782277147336e+06	1.18980427782436e-02,0.00000000000000e+00	2.46949404087371e-04,0.00000000000000e+00	2.24773295476752e-05,0.00000000000000e+00	2.24773295476752e-05,0.00000000000000e+00	1.18980427782444e-02,0.00000000000000e+00
2.03249738574139e+06	1.18803596733577e-02,0.00000000000000e+00	2.46590691065036e-04,0.00000000000000e+00	2.24916420907114e-05,0.00000000000000e+00	2.24916420907114e-05,0.00000000000000e+00	1.18803596733581e-02,0.00000000000000e+00
2.03718277610823e+06	1.18626741007263e-02,0.00000000000000e+00	2.46231934123342e-04,0.00000000000000e+00	2.25058920868528e-05,0.00000000000000e+00	2.25058920868528e-05,0.00000000000000e+00	1.18626741007263e-02,0.00000000000000e+00
2.04187896741536e+06	1.18449861885211e-02,0.00000000000000e+00	2.45873135871420e-04,0.00000000000000e+00	2.25200794128331e-05,0.00000000000000e+00	2.25200794128331e-05,0.00000000000000e+00	1.18449861885213e-02,0.00000000000000e+00
2.04658598456151e+06	1.18272960647848e-02,0.00000000000000e+00	2.45514298915488e-04,0.00000000000000e+00	2.25342039461258e-05,0.00000000000000e+00	2.25342039461258e-05,0.00000000000000e+00	1.18272960647843e-02,0.00000000000000e+00
2.05130385250281e+06	1.18096038574335e-02,0.00000000000000e+00	2.45155425859024e-04,0.00000000000000e+00	2.25482655649669e-05,0.00000000000000e+00	2.25482655649669e-05,0.00000000000000e+00	1.18096038574336e-02,0.00000000000000e+00
2.05603259625295e+06	1.17919096942568e-02,0.00000000000000e+00	2.44796519302596e-04,0.00000000000000e+00	2.25622641483465e-05,0.00000000000000e+00	2.25622641483465e-05,0.00000000000000e+00	1.17919096942565e-02,0.00000000000000e+00
2.06077224088323e+06	1.17742137028984e-02,0.00000000000000e+00	2.44437581843649e-04,0.00000000000000e+00	2.25761995759956e-05,0.00000000000000e+00	2.25761995759956e-05,0.00000000000000e+00	1.17742137028989e-02,0.00000000000000e+00
2.06552281152279e+06	1.17565160108763e-02,0.00000000000000e+00	2.44078616076703e-04,0.00000000000000e+00	2.25900717284111e-05,0.00000000000000e+00	2.25900717284111e-05,0.00000000000000e+00	1.17565160108749e-02,0.00000000000000e+00
2.07028433335869e+06	1.17388167455525e-02,0.00000000000000e+00	2.43719624593076e-04,0.00000000000000e+00	2.26038804868375e-05,0.00000000000000e+00	2.26038804868375e-05,0.00000000000000e+00	1.17388167455535e-02,0.00000000000000e+00
2.07505683163602e+06	1.17211160341546e-02,0.00000000000000e+00	2.43360609980810e-04,0.00000000000000e+00	2.26176257332656e-05,0.00000000000000e+00	2.26176257332656e-05,0.00000000000000e+00	1.17211160341550e-02,0.00000000000000e+00
2.07984033165812e+06	1.17034140037509e-02,0.00000000000000e+00	2.43001574824699e-04,0.00000000000000e+00	2.26313073504430e-05,0.00000000000000e+00	2.26313073504430e-05,0.00000000000000e+00	1.17034140037521e-02,0.00000000000000e+00
2.08463485878661e+06	1.16857107812622e-02,0.00000000000000e+00	2.42642521706104e-04,0.00000000000000e+00	2.26449252218621e-05,0.00000000000000e+00	2.26449252218621e-05,0.00000000000000e+00	1.16857107812616e-02,0.00000000000000e+00
2.08944043844160e+06	1.16680064934468e-02,0.00000000000000e+00	2.42283453203016e-04,0.00000000000000e+00	2.26584792317735e-05,0.00000000000000e+00	2.26584792317735e-05,0.00000000000000e+00	1.16680064934465e-02,0.00000000000000e+00
2.09425709610180e+06	1.16503012669000e-02,0.00000000000000e+00	2.41924371889719e-04,0.00000000000000e+00	2.26719692651605e-05,0.00000000000000e+00	2.26719692651605e-05,0.00000000000000e+00	1.16503012669006e-02,0.00000000000000e+00
2.09908485730464e+06	1.16325952280600e-02,0.00000000000000e+00	2.41565280337033e-04,0.00000000000000e+00	2.26853952077681e-05,0.00000000000000e+00	2.26853952077681e-05,0.00000000000000e+00	1.16325952280600e-02,0.00000000000000e+00
2.10392374764644e+06	1.16148885031904e-02,0.00000000000000e+00	2.41206181112059e-04,0.00000000000000e+00	2.26987569460860e-05,0.00000000000000e+00	2.26987569460860e-05,0.00000000000000e+00	1.16148885031903e-02,0.00000000000000e+00
2.10877379278251e+06	1.15971812183785e-02,0.00000000000000e+00	2.40847076778026e-04,0.00000000000000e+00	2.27120543673396e-05,0.00000000000000e+00	2.27120543673396e-05,0.00000000000000e+00	1.15971812183799e-02,0.00000000000000e+00
2.11363501842731e+06	1.15794734995473e-02,0.00000000000000e+00	2.40487969894436e-04,0.00000000000000e+00	2.27252873595108e-05,0.00000000000000e+00	2.27252873595108e-05,0.00000000000000e+00	1.15794734995466e-02,0.00000000000000e+00
2.11850745035458e+06	1.15617654724242e-02,0.00000000000000e+00	2.40128863016795e-04,0.00000000000000e+00	2.27384558113182e-05,0.00000000000000e+00	2.27384558113182e-05,0.00000000000000e+00	1.15617654724247e-02,0.00000000000000e+00
2.12339111439745e+06	1.15440572625667e-02,0.00000000000000e+00	2.39769758696619e-04,0.00000000000000e+00	2.27515596122239e-05,0.00000000000000e+00	2.27515596122239e-05,0.00000000000000e+00	1.15440572625654e-02,0.00000000000000e+00
2.12828603644863e+06	1.15263489953395e-02,0.00000000000000e+00	2.39410659481506e-04,0.00000000000000e+00	2.27645986524467e-05,0.00000000000000e+00	2.27645986524467e-05,0.00000000000000e+00	1.15263489953399e-02,0.00000000000000e+00
2.13319224246051e+06	1.15086407959159e-02,0.00000000000000e+00	2.39051567914663e-04,0.00000000000000e+00	2.27775728229225e-05,0.00000000000000e+00	2.27775728229225e-05,0.00000000000000e+00	1.15086407959171e-02,0.00000000000000e+00
2.13810975844531e+06	1.14909327892780e-02,0.00000000000000e+00	2.38692486535198e-04,0.00000000000000e+00	2.27904820153392e-05,0.00000000000000e+00	2.27904820153392e-05,0.00000000000000e+00	1.14909327892774e-02,0.00000000000000e+00
2.14303861047521e+06	1.14732251002117e-02,0.00000000000000e+00	2.38333417878111e-04,0.00000000000000e+00	2.28033261221403e-05,0.00000000000000e+00	2.28033261221403e-05,0.00000000000000e+00	1.14732251002122e-02,0.00000000000000e+00
2.14797882468249e+06	1.14555178532931e-02,0.00000000000000e+00	2.37974364473646e-04,0.00000000000000e+00	2.28161050364703e-05,0.00000000000000e+00	2.28161050364703e-05,0.00000000000000e+00	1.14555178532930e-02,0.00000000000000e+00
2.15293042725967e+06	1.14378111729046e-02,0.00000000000000e+00	2.37615328847991e-04,0.00000000000000e+00	2.28288186522463e-05,0.00000000000000e+00	2.28288186522463e-05,0.00000000000000e+00	1.14378111729044e-02,0.00000000000000e+00
2.15789344445965e+06	1.14201051832143e-02,0.00000000000000e+00	2.37256313522635e-04,0.00000000000000e+00	2.28414668641029e-05,0.00000000000000e+00	2.28414668641029e-05,0.00000000000000e+00	1.14201051832142e-02,0.00000000000000e+00
2.16286790259587e+06	1.14024000081791e-02,0.00000000000000e+00	2.36897321014498e-04,0.00000000000000e+00	2.28540495674099e-05,0.00000000000000e+00	2.28540495674099e-05,0.00000000000000e+00	1.14024000081785e-02,0.00000000000000e+00
2.16785382804240e+06	1.13846957715434e-02,0.00000000000000e+00	2.36538353835914e-04,0.00000000000000e+00	2.28665666582767e-05,0.00000000000000e+00	2.28665666582767e-05,0.00000000000000e+00	1.13846957715419e-02,0.00000000000000e+00
2.17285124723413e+06	1.13669925968275e-02,0.00000000000000e+00	2.36179414494450e-04,0.00000000000000e+00	2.28790180335399e-05,0.00000000000000e+00	2.28790180335399e-05,0.00000000000000e+00	1.13669925968279e-02,0.00000000000000e+00
2.17786018666686e+06	1.13492906073456e-02,0.00000000000000e+00	2.35820505493004e-04,0.00000000000000e+00	2.28914035907788e-05,0.00000000000000e+00	2.28914035907788e-05,0.00000000000000e+00	1.13492906073443e-02,0.00000000000000e+00
2.18288067289751e+06	1.13315899261662e-02,0.00000000000000e+00	2.35461629329453e-04,0.00000000000000e+00	2.29037232282867e-05,0.00000000000000e+00	2.29037232282867e-05,0.00000000000000e+00	1.13315899261659e-02,0.00000000000000e+00
2.18791273254418e+06	1.13138906761412e-02,0.00000000000000e+00	2.35102788496781e-04,0.00000000000000e+00	2.29159768450884e-05,0.00000000000000e+00	2.29159768450884e-05,0.00000000000000e+00	1.13138906761406e-02,0.00000000000000e+00
2.19295639228637e+06	1.12961929798900e-02,0.00000000000000e+00	2.34743985483098e-04,0.00000000000000e+00	2.29281643409478e-05,0.00000000000000e+00	2.29281643409478e-05,0.00000000000000e+00	1.12961929798905e-02,0.00000000000000e+00
2.19801167886504e+06	1.12784969597990e-02,0.00000000000000e+00	2.34385222771371e-04,0.00000000000000e+00	2.29402856163469e-05,0.00000000000000e+00	2.29402856163469e-05,0.00000000000000e+00	1.12784969597989e-02,0.00000000000000e+00
2.20307861908283e+06	1.12608027380067e-02,0.00000000000000e+00	2.34026502839357e-04,0.00000000000000e+00	2.29523405724843e-05,0.00000000000000e+00	2.29523405724843e-05,0.00000000000000e+00	1.12608027380070e-02,0.00000000000000e+00
