Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RCoil3))	mag(I(RLoad))	mag(I(RSource))
2.00000000000000e+06	2.81085481551820e-03,0.00000000000000e+00	1.11395069750351e-05,0.00000000000000e+00	5.47423189564589e-07,0.00000000000000e+00	5.47423189564725e-07,0.00000000000000e+00	2.81085481551849e-03,0.00000000000000e+00
2.00461047615580e+06	2.81961793383640e-03,0.00000000000000e+00	1.12360230128764e-05,0.00000000000000e+00	5.54724269199859e-07,0.00000000000000e+00	5.54724269199692e-07,0.00000000000000e+00	2.81961793383647e-03,0.00000000000000e+00
2.00923158055679e+06	2.82842056074857e-03,0.00000000000000e+00	1.13334818298893e-05,0.00000000000000e+00	5.62127729121772e-07,0.00000000000000e+00	5.62127729121748e-07,0.00000000000000e+00	2.82842056074846e-03,0.00000000000000e+00
2.01386333770361e+06	2.83726296878113e-03,0.00000000000000e+00	1.14318941174079e-05,0.00000000000000e+00	5.69635097618976e-07,0.00000000000000e+00	5.69635097618826e-07,0.00000000000000e+00	2.83726296878082e-03,0.00000000000000e+00
2.01850577215337e+06	2.84614543303978e-03,0.00000000000000e+00	1.15312707092921e-05,0.00000000000000e+00	5.77247927557292e-07,0.00000000000000e+00	5.77247927557275e-07,0.00000000000000e+00	2.84614543303985e-03,0.00000000000000e+00
2.02315890851980e+06	2.85506823123253e-03,0.00000000000000e+00	1.16316225841057e-05,0.00000000000000e+00	5.84967796809909e-07,0.00000000000000e+00	5.84967796809879e-07,0.00000000000000e+00	2.85506823123300e-03,0.00000000000000e+00
2.02782277147336e+06	2.86403164370390e-03,0.00000000000000e+00	1.17329608674022e-05,0.00000000000000e+00	5.92796308696214e-07,0.00000000000000e+00	5.92796308696407e-07,0.00000000000000e+00	2.86403164370422e-03,0.00000000000000e+00
2.03249738574139e+06	2.87303595346353e-03,0.00000000000000e+00	1.18352968340209e-05,0.00000000000000e+00	6.00735092428079e-07,0.00000000000000e+00	6.00735092428026e-07,0.00000000000000e+00	2.87303595346344e-03,0.00000000000000e+00
2.03718277610823e+06	2.88208144621712e-03,0.00000000000000e+00	1.19386419104136e-05,0.00000000000000e+00	6.08785803562371e-07,0.00000000000000e+00	6.08785803562293e-07,0.00000000000000e+00	2.88208144621684e-03,0.00000000000000e+00
2.04187896741536e+06	2.89116841040279e-03,0.00000000000000e+00	1.20430076770567e-05,0.00000000000000e+00	6.16950124470458e-07,0.00000000000000e+00	6.16950124470571e-07,0.00000000000000e+00	2.89116841040312e-03,0.00000000000000e+00
2.04658598456151e+06	2.90029713721761e-03,0.00000000000000e+00	1.21484058708276e-05,0.00000000000000e+00	6.25229764807036e-07,0.00000000000000e+00	6.25229764807226e-07,0.00000000000000e+00	2.90029713721717e-03,0.00000000000000e+00
2.05130385250281e+06	2.90946792065275e-03,0.00000000000000e+00	1.22548483875333e-05,0.00000000000000e+00	6.33626461994027e-07,0.00000000000000e+00	6.33626461994085e-07,0.00000000000000e+00	2.90946792065277e-03,0.00000000000000e+00
2.05603259625295e+06	2.91868105752671e-03,0.00000000000000e+00	1.23623472843831e-05,0.00000000000000e+00	6.42141981709342e-07,0.00000000000000e+00	6.42141981709478e-07,0.00000000000000e+00	2.91868105752658e-03,0.00000000000000e+00
2.06077224088323e+06	2.92793684752009e-03,0.00000000000000e+00	1.24709147825675e-05,0.00000000000000e+00	6.50778118392628e-07,0.00000000000000e+00	6.50778118392623e-07,0.00000000000000e+00	2.92793684751982e-03,0.00000000000000e+00
2.06552281152279e+06	2.93723559320573e-03,0.00000000000000e+00	1.25805632698588e-05,0.00000000000000e+00	6.59536695751780e-07,0.00000000000000e+00	6.59536695751793e-07,0.00000000000000e+00	2.93723559320568e-03,0.00000000000000e+00
2.07028433335869e+06	2.94657760008648e-03,0.00000000000000e+00	1.26913053032666e-05,0.00000000000000e+00	6.68419567285729e-07,0.00000000000000e+00	6.68419567285900e-07,0.00000000000000e+00	2.94657760008686e-03,0.00000000000000e+00
2.07505683163602e+06	2.95596317662955e-03,0.00000000000000e+00	1.28031536117484e-05,0.00000000000000e+00	6.77428616814130e-07,0.00000000000000e+00	6.77428616814140e-07,0.00000000000000e+00	2.95596317662954e-03,0.00000000000000e+00
2.07984033165812e+06	2.96539263430273e-03,0.00000000000000e+00	1.29161210989605e-05,0.00000000000000e+00	6.86565759020178e-07,0.00000000000000e+00	6.86565759020148e-07,0.00000000000000e+00	2.96539263430294e-03,0.00000000000000e+00
2.08463485878661e+06	2.97486628760621e-03,0.00000000000000e+00	1.30302208460468e-05,0.00000000000000e+00	6.95832940001805e-07,0.00000000000000e+00	6.95832940001678e-07,0.00000000000000e+00	2.97486628760656e-03,0.00000000000000e+00
2.08944043844160e+06	2.98438445411457e-03,0.00000000000000e+00	1.31454661145157e-05,0.00000000000000e+00	7.05232137832221e-07,0.00000000000000e+00	7.05232137832083e-07,0.00000000000000e+00	2.98438445411490e-03,0.00000000000000e+00
2.09425709610180e+06	2.99394745451236e-03,0.00000000000000e+00	1.32618703491460e-05,0.00000000000000e+00	7.14765363137426e-07,0.00000000000000e+00	7.14765363137461e-07,0.00000000000000e+00	2.99394745451238e-03,0.00000000000000e+00
2.09908485730464e+06	3.00355561262607e-03,0.00000000000000e+00	1.33794471809315e-05,0.00000000000000e+00	7.24434659679212e-07,0.00000000000000e+00	7.24434659679232e-07,0.00000000000000e+00	3.00355561262672e-03,0.00000000000000e+00
2.10392374764644e+06	3.01320925547257e-03,0.00000000000000e+00	1.34982104301234e-05,0.00000000000000e+00	7.34242104950999e-07,0.00000000000000e+00	7.34242104951036e-07,0.00000000000000e+00	3.01320925547267e-03,0.00000000000000e+00
2.10877379278251e+06	3.02290871328558e-03,0.00000000000000e+00	1.36181741092744e-05,0.00000000000000e+00	7.44189810788322e-07,0.00000000000000e+00	7.44189810788336e-07,0.00000000000000e+00	3.02290871328540e-03,0.00000000000000e+00
2.11363501842731e+06	3.03265431956822e-03,0.00000000000000e+00	1.37393524264188e-05,0.00000000000000e+00	7.54279923988349e-07,0.00000000000000e+00	7.54279923988279e-07,0.00000000000000e+00	3.03265431956804e-03,0.00000000000000e+00
2.11850745035458e+06	3.04244641111788e-03,0.00000000000000e+00	1.38617597882010e-05,0.00000000000000e+00	7.64514626941544e-07,0.00000000000000e+00	7.64514626941628e-07,0.00000000000000e+00	3.04244641111766e-03,0.00000000000000e+00
2.12339111439745e+06	3.05228532807898e-03,0.00000000000000e+00	1.39854108031664e-05,0.00000000000000e+00	7.74896138278995e-07,0.00000000000000e+00	7.74896138279053e-07,0.00000000000000e+00	3.05228532807927e-03,0.00000000000000e+00
2.12828603644863e+06	3.06217141397769e-03,0.00000000000000e+00	1.41103202850681e-05,0.00000000000000e+00	7.85426713530427e-07,0.00000000000000e+00	7.85426713530475e-07,0.00000000000000e+00	3.06217141397815e-03,0.00000000000000e+00
2.13319224246051e+06	3.07210501576598e-03,0.00000000000000e+00	1.42365032562347e-05,0.00000000000000e+00	7.96108645794006e-07,0.00000000000000e+00	7.96108645794159e-07,0.00000000000000e+00	3.07210501576557e-03,0.00000000000000e+00
2.13810975844531e+06	3.08208648385728e-03,0.00000000000000e+00	1.43639749509967e-05,0.00000000000000e+00	8.06944266424062e-07,0.00000000000000e+00	8.06944266424004e-07,0.00000000000000e+00	3.08208648385759e-03,0.00000000000000e+00
